did,distno,distname,created_at,updated_at
1,1,BELGAUM ಬೆಳಗಾವಿ,2018-12-10 00:00:00,2018-12-10 00:00:00
2,2,BAGALKOT ಬಾಗಲಕೋಟೆ,2018-12-10 00:00:00,2018-12-10 00:00:00
3,3,BIJAPUR ವಿಜಾಪೂರ,2018-12-10 00:00:00,2018-12-10 00:00:00
4,4,GULBARGA ಗುಲಬರ್ಗಾ,2018-12-10 00:00:00,2018-12-10 00:00:00
5,5,BIDAR ಬೀದರ್‌,2018-12-10 00:00:00,2018-12-10 00:00:00
6,6,RAICHUR ರಾಯಚೂರು,2018-12-10 00:00:00,2018-12-10 00:00:00
7,7,KOPPAL ಕೊಪ್ಪಳ,2018-12-10 00:00:00,2018-12-10 00:00:00
8,8,GADAG ಗದಗ,2018-12-10 00:00:00,2018-12-10 00:00:00
9,9,DHARWAD ಧಾರವಾಡ,2018-12-10 00:00:00,2018-12-10 00:00:00
10,10,UTTARA KANNADA ಉತ್ತರ ಕನ್ನಡ,2018-12-10 00:00:00,2018-12-10 00:00:00
11,11,HAVERI ಹಾವೇರಿ,2018-12-10 00:00:00,2018-12-10 00:00:00
12,12,BELLARY ಬಳ್ಳಾರಿ,2018-12-10 00:00:00,2018-12-10 00:00:00
13,13,CHITRADURGA ಚಿತ್ರದುರ್ಗ,2018-12-10 00:00:00,2018-12-10 00:00:00
14,14,DAVANGERE ದಾವಣಗೆರೆ,2018-12-10 00:00:00,2018-12-10 00:00:00
15,15,SHIMOGA ಶಿವಮೊಗ್ಗ,2018-12-10 00:00:00,2018-12-10 00:00:00
16,16,UDUPI ಉಡುಪಿ,2018-12-10 00:00:00,2018-12-10 00:00:00
17,17,"CHIKMAGALUR ಚಿಕ್ಕಮಗಳೂರು
",2018-12-10 00:00:00,2018-12-10 00:00:00
18,18,"CHIKKABALLAPUR ಚಿಕ್ಕಬಳ್ಳಾಪುರ
",2018-12-10 00:00:00,2018-12-10 00:00:00
19,19,"KOLAR ಕೋಲಾರ
",2018-12-10 00:00:00,2018-12-10 00:00:00
20,20,"BANGALORE RURAL ಬೆಂಗಳೂರು ಗ್ರಾಮಾಂತರ
",2018-12-10 00:00:00,2018-12-10 00:00:00
21,21,"RAMANAGARAM ರಾಮನಗರಂ
",2018-12-10 00:00:00,2018-12-10 00:00:00
22,22,"MANDYA ಮಂಡ್ಯ
",2018-12-10 00:00:00,2018-12-10 00:00:00
23,23,"HASSAN ಹಾಸನ
",2018-12-10 00:00:00,2018-12-10 00:00:00
24,24,"DAKSHINA KANNADA ದಕ್ಷಿಣ ಕನ್ನಡ
",2018-12-10 00:00:00,2018-12-10 00:00:00
25,25,"KODAGU ಕೊಡಗು
",2018-12-10 00:00:00,2018-12-10 00:00:00
26,26,"MYSORE ಮೈಸೂರು
",2018-12-10 00:00:00,2018-12-10 00:00:00
27,27,"CHAMARAJNAGAR ಚಾಮರಾಜನಗರ
",2018-12-10 00:00:00,2018-12-10 00:00:00
28,28,"ಬೆಂಗಳೂರು / BANGALORE
",2018-12-10 00:00:00,2018-12-10 00:00:00
29,35,"YADGIR ಯಾದಗಿರಿ
",2018-12-10 00:00:00,2018-12-10 00:00:00
